age,gender,location,marital_status,plan_type,monthly_value,contract_duration_months,payment_method,avg_monthly_minutes,data_usage_gb,num_services,num_complaints,support_calls,service_failures,last_interaction_days,app_usage_score,total_spent,late_payments,churn
65,Masculino,Subúrbio,Solteiro,Semestral,43.96,20,Débito Automático,850.47,77.34,2,0,5,0,58,3.4,879.2,1,0
66,Masculino,Urbano,Divorciado,Mensal,147.28,42,Débito Automático,664.09,88.07,4,0,5,0,118,3.7,6185.76,0,1
35,Feminino,Urbano,Casado,Mensal,193.91,38,Cartão de Crédito,1052.47,63.02,1,0,9,0,63,3.6,7368.58,0,0
25,Feminino,Urbano,Divorciado,Semestral,133.1,33,Débito Automático,866.99,95.21,3,1,2,1,142,4.9,4392.3,0,0
28,Masculino,Urbano,Divorciado,Semestral,163.98,34,Cartão de Crédito,874.95,38.12,2,0,0,0,49,3.3,5575.32,0,0
24,Feminino,Urbano,Solteiro,Anual,187.66,23,Boleto Bancário,567.82,80.83,1,3,0,0,3,1.5,4316.18,0,0
50,Masculino,Urbano,Divorciado,Mensal,112.05,41,Boleto Bancário,1180.05,88.35,4,0,1,0,148,1.9,4594.05,1,0
64,Masculino,Subúrbio,Divorciado,Mensal,178.76,33,Boleto Bancário,756.45,7.82,1,1,8,0,102,2.7,5899.08,0,0
35,Feminino,Urbano,Divorciado,Anual,104.46,11,Boleto Bancário,116.4,76.64,3,0,3,0,51,1.1,1149.06,0,1
32,Masculino,Subúrbio,Divorciado,Mensal,154.44,32,Cartão de Crédito,871.91,17.96,2,0,0,0,174,3.9,4942.08,0,0
69,Feminino,Urbano,Divorciado,Semestral,170.01,21,Débito Automático,1017.7,65.18,4,0,4,0,38,1.7,3570.21,1,0
53,Masculino,Rural,Solteiro,Mensal,56.27,4,Débito Automático,181.81,92.26,3,4,1,0,158,2.4,225.08,0,1
40,Masculino,Urbano,Solteiro,Mensal,127.08,21,Boleto Bancário,1128.62,91.32,1,0,1,0,54,2.1,2668.68,0,0
64,Feminino,Urbano,Casado,Semestral,110.45,35,Débito Automático,162.95,24.49,1,2,1,0,88,4.8,3865.75,0,0
43,Feminino,Subúrbio,Solteiro,Semestral,54.6,40,Débito Automático,210.69,94.13,1,0,2,2,122,1.1,2184.0,0,0
46,Masculino,Urbano,Divorciado,Mensal,62.46,19,Débito Automático,1461.33,27.87,3,0,5,0,94,1.4,1186.74,0,0
49,Feminino,Urbano,Divorciado,Mensal,141.89,8,Boleto Bancário,775.98,34.32,4,1,2,2,38,2.5,1135.12,0,0
40,Feminino,Subúrbio,Casado,Mensal,123.2,19,Cartão de Crédito,402.39,21.23,2,0,9,0,159,3.5,2340.8,0,1
41,Feminino,Subúrbio,Solteiro,Semestral,139.24,8,Débito Automático,589.77,59.27,2,0,0,0,151,2.0,1113.92,0,0
25,Feminino,Urbano,Solteiro,Semestral,111.61,37,Cartão de Crédito,184.63,56.47,1,0,3,0,73,2.3,4129.57,0,0
39,Feminino,Urbano,Solteiro,Semestral,148.05,1,Cartão de Crédito,148.65,72.74,3,0,3,0,145,3.5,148.05,0,0
36,Feminino,Subúrbio,Divorciado,Semestral,93.72,4,Cartão de Crédito,598.48,8.7,4,0,2,0,16,2.0,374.88,0,0
24,Feminino,Subúrbio,Solteiro,Semestral,198.16,28,Cartão de Crédito,1434.22,32.06,3,0,2,2,178,4.9,5548.48,0,0
57,Feminino,Urbano,Solteiro,Semestral,164.13,9,Cartão de Crédito,259.23,26.07,4,0,4,0,151,1.3,1477.17,0,0
42,Feminino,Subúrbio,Divorciado,Mensal,109.64,24,Débito Automático,773.49,78.21,3,0,1,1,168,3.7,2631.36,0,1
50,Feminino,Subúrbio,Divorciado,Semestral,73.42,8,Débito Automático,1400.34,48.45,3,1,1,0,154,1.5,587.36,0,0
60,Masculino,Rural,Solteiro,Semestral,168.56,4,Boleto Bancário,190.0,77.29,4,2,7,1,10,3.1,674.24,0,0
31,Masculino,Urbano,Casado,Mensal,43.57,16,Boleto Bancário,578.3,43.47,2,1,4,0,41,1.4,697.12,0,0
58,Feminino,Subúrbio,Casado,Anual,108.48,39,Cartão de Crédito,324.66,53.57,2,0,7,1,118,1.9,4230.72,0,0
48,Feminino,Urbano,Casado,Mensal,150.17,8,Cartão de Crédito,286.32,60.99,3,0,7,0,43,1.9,1201.36,0,0
42,Masculino,Urbano,Solteiro,Mensal,115.45,40,Boleto Bancário,851.63,20.48,1,0,9,0,165,2.8,4618.0,0,0
66,Masculino,Urbano,Casado,Semestral,162.78,26,Débito Automático,602.3,17.87,4,0,2,0,32,4.3,4232.28,1,1
31,Masculino,Urbano,Casado,Mensal,36.69,41,Boleto Bancário,1003.13,69.85,2,0,2,1,169,3.7,1504.29,0,0
69,Feminino,Urbano,Divorciado,Anual,31.86,9,Débito Automático,870.26,53.87,3,0,2,0,117,5.0,286.74,0,0
38,Feminino,Subúrbio,Casado,Mensal,134.98,10,Débito Automático,1041.71,26.27,4,0,1,0,51,1.7,1349.8,0,0
65,Masculino,Urbano,Divorciado,Anual,128.83,46,Cartão de Crédito,800.64,86.39,1,2,0,1,176,2.2,5926.18,0,0
58,Feminino,Urbano,Solteiro,Semestral,185.43,32,Boleto Bancário,94.92,66.21,2,0,7,0,151,4.3,5933.76,1,0
36,Feminino,Rural,Divorciado,Mensal,59.26,37,Boleto Bancário,1251.42,92.58,4,1,1,0,76,4.9,2192.62,0,0
60,Feminino,Urbano,Solteiro,Mensal,52.44,47,Boleto Bancário,81.37,64.65,2,1,5,0,172,4.6,2464.68,0,0
57,Masculino,Subúrbio,Divorciado,Mensal,122.65,45,Cartão de Crédito,535.1,9.01,4,0,4,0,140,3.3,5519.25,0,0
59,Masculino,Urbano,Casado,Anual,100.06,38,Cartão de Crédito,1238.9,47.09,3,1,3,0,15,4.0,3802.28,1,0
18,Feminino,Subúrbio,Casado,Mensal,186.44,27,Débito Automático,312.51,99.54,1,1,9,1,37,2.6,5033.88,0,0
47,Feminino,Urbano,Casado,Semestral,75.81,9,Cartão de Crédito,648.5,42.19,4,0,0,0,56,1.3,682.29,0,1
33,Masculino,Rural,Casado,Mensal,132.66,6,Boleto Bancário,658.42,75.67,3,0,5,1,113,2.0,795.96,0,0
56,Masculino,Urbano,Casado,Semestral,55.47,23,Cartão de Crédito,1002.25,34.15,2,0,3,1,161,2.6,1275.81,0,0
42,Masculino,Urbano,Solteiro,Semestral,56.68,38,Débito Automático,121.65,39.32,3,0,1,0,72,4.1,2153.84,0,0
54,Feminino,Subúrbio,Casado,Semestral,143.25,45,Boleto Bancário,1496.42,92.11,4,0,6,2,179,1.3,6446.25,0,0
26,Feminino,Subúrbio,Solteiro,Anual,42.54,2,Boleto Bancário,473.63,99.82,4,0,4,1,179,4.2,85.08,0,0
58,Feminino,Urbano,Solteiro,Anual,157.74,44,Boleto Bancário,282.0,84.34,4,0,9,0,83,2.5,6940.56,0,0
28,Feminino,Subúrbio,Casado,Anual,43.15,32,Cartão de Crédito,1107.5,63.57,2,0,5,0,86,2.0,1380.8,0,0
53,Feminino,Urbano,Solteiro,Anual,105.1,45,Cartão de Crédito,1171.21,99.0,3,2,9,0,103,3.9,4729.5,0,1
69,Feminino,Rural,Casado,Semestral,181.04,35,Boleto Bancário,1016.86,21.39,1,0,6,0,106,2.7,6336.4,0,0
50,Masculino,Subúrbio,Casado,Mensal,77.99,11,Boleto Bancário,804.63,53.16,3,0,9,0,73,3.7,857.89,0,0
39,Feminino,Subúrbio,Solteiro,Anual,48.07,42,Boleto Bancário,51.15,58.14,3,0,1,0,50,3.2,2018.94,0,0
20,Masculino,Urbano,Solteiro,Anual,89.53,27,Débito Automático,237.84,53.5,1,0,5,1,81,3.0,2417.31,0,1
24,Masculino,Urbano,Divorciado,Mensal,135.54,12,Cartão de Crédito,152.02,74.91,4,0,0,2,35,3.0,1626.48,0,0
22,Masculino,Urbano,Solteiro,Mensal,132.67,1,Débito Automático,1476.96,21.19,2,0,7,0,83,2.6,132.67,0,0
60,Masculino,Subúrbio,Casado,Anual,71.34,41,Cartão de Crédito,1023.58,42.1,1,0,4,0,37,4.0,2924.94,0,0
67,Masculino,Urbano,Solteiro,Anual,133.91,16,Boleto Bancário,1236.54,34.55,1,1,9,1,146,1.1,2142.56,0,0
60,Feminino,Urbano,Casado,Mensal,91.07,22,Boleto Bancário,316.66,54.45,4,0,4,0,34,1.9,2003.54,0,1
46,Feminino,Subúrbio,Solteiro,Mensal,69.9,46,Boleto Bancário,1394.99,81.87,4,0,4,0,72,3.0,3215.4,0,0
21,Masculino,Subúrbio,Solteiro,Mensal,84.39,4,Cartão de Crédito,1226.91,66.44,4,0,4,0,91,1.9,337.56,0,0
61,Feminino,Urbano,Casado,Anual,176.07,28,Débito Automático,614.08,62.86,4,0,0,0,49,4.4,4929.96,0,0
42,Masculino,Urbano,Divorciado,Anual,132.12,1,Débito Automático,1398.86,38.25,1,0,1,0,97,1.8,132.12,0,0
21,Feminino,Urbano,Casado,Mensal,127.06,5,Débito Automático,271.84,7.26,1,0,6,2,43,1.2,635.3,0,0
56,Feminino,Urbano,Divorciado,Anual,58.62,41,Cartão de Crédito,1180.64,12.23,3,3,9,0,135,4.1,2403.42,0,0
25,Masculino,Subúrbio,Casado,Anual,187.92,32,Boleto Bancário,1341.66,28.41,3,0,8,2,158,4.7,6013.44,0,0
57,Masculino,Urbano,Casado,Anual,56.44,24,Cartão de Crédito,833.4,24.47,4,1,7,1,109,1.4,1354.56,0,0
62,Masculino,Urbano,Casado,Mensal,60.68,29,Boleto Bancário,88.83,54.22,1,0,9,0,8,1.8,1759.72,0,0
58,Feminino,Urbano,Solteiro,Mensal,78.22,47,Débito Automático,279.61,35.92,4,0,3,0,2,2.0,3676.34,0,0
34,Masculino,Subúrbio,Divorciado,Mensal,53.28,24,Cartão de Crédito,125.52,81.07,1,0,7,0,115,4.0,1278.72,0,0
52,Feminino,Urbano,Casado,Mensal,53.05,39,Boleto Bancário,525.04,57.63,2,0,0,0,60,2.9,2068.95,0,0
25,Masculino,Urbano,Solteiro,Anual,119.92,13,Cartão de Crédito,693.11,45.81,2,0,7,2,125,3.5,1558.96,1,1
37,Masculino,Urbano,Solteiro,Mensal,34.87,38,Boleto Bancário,539.51,20.66,4,0,7,0,106,1.9,1325.06,0,0
38,Feminino,Urbano,Divorciado,Semestral,66.51,17,Boleto Bancário,124.04,95.71,3,3,8,0,100,3.5,1130.67,0,0
36,Masculino,Urbano,Divorciado,Semestral,122.7,33,Débito Automático,1129.51,68.68,3,1,3,0,144,3.7,4049.1,0,0
60,Feminino,Urbano,Divorciado,Anual,64.16,42,Débito Automático,305.94,84.67,4,0,9,1,31,2.0,2694.72,0,0
62,Masculino,Urbano,Casado,Mensal,110.0,10,Débito Automático,1411.12,40.81,4,2,7,0,167,2.0,1100.0,0,1
39,Feminino,Urbano,Casado,Mensal,53.03,45,Boleto Bancário,1323.18,97.47,2,0,8,0,129,1.7,2386.35,0,1
54,Masculino,Urbano,Solteiro,Mensal,47.94,40,Débito Automático,940.66,22.73,2,0,6,1,91,1.9,1917.6,0,0
55,Feminino,Urbano,Divorciado,Mensal,122.62,33,Boleto Bancário,977.47,93.64,2,0,3,0,88,4.5,4046.46,0,0
52,Feminino,Urbano,Casado,Semestral,96.02,8,Débito Automático,781.52,73.56,2,0,2,0,124,2.7,768.16,0,0
66,Feminino,Subúrbio,Divorciado,Semestral,54.7,2,Cartão de Crédito,297.97,5.89,2,0,1,0,95,3.3,109.4,0,0
61,Masculino,Subúrbio,Solteiro,Semestral,186.0,23,Cartão de Crédito,1108.54,5.91,4,0,3,0,75,3.2,4278.0,0,0
45,Masculino,Rural,Divorciado,Mensal,51.56,26,Cartão de Crédito,516.93,14.11,2,0,9,0,31,2.1,1340.56,0,0
69,Feminino,Urbano,Solteiro,Mensal,134.18,22,Cartão de Crédito,562.87,59.04,2,0,2,0,17,2.3,2951.96,0,0
33,Feminino,Subúrbio,Solteiro,Semestral,99.72,28,Boleto Bancário,1261.8,96.5,1,0,5,0,68,3.1,2792.16,0,0
20,Feminino,Subúrbio,Casado,Anual,88.76,4,Boleto Bancário,858.22,81.15,4,0,3,0,18,3.3,355.04,0,1
58,Masculino,Urbano,Solteiro,Anual,157.24,33,Débito Automático,865.87,5.8,2,0,3,0,30,2.7,5188.92,1,0
64,Feminino,Subúrbio,Casado,Mensal,153.66,43,Débito Automático,663.66,92.3,3,1,2,2,109,3.2,6607.38,0,1
32,Feminino,Subúrbio,Divorciado,Mensal,56.01,45,Débito Automático,575.42,9.75,4,0,1,0,22,3.2,2520.45,0,0
20,Masculino,Subúrbio,Casado,Anual,55.12,1,Boleto Bancário,1184.27,25.05,3,0,6,0,4,1.2,55.12,0,0
58,Masculino,Urbano,Solteiro,Mensal,102.97,43,Débito Automático,247.41,30.79,3,0,9,1,55,1.3,4427.71,0,1
49,Masculino,Urbano,Divorciado,Anual,173.25,14,Cartão de Crédito,793.26,65.5,3,0,8,0,42,3.3,2425.5,0,0
39,Masculino,Subúrbio,Casado,Mensal,99.08,45,Débito Automático,1424.23,87.94,2,0,9,0,6,4.1,4458.6,0,0
20,Feminino,Urbano,Solteiro,Mensal,116.72,18,Boleto Bancário,1233.45,7.64,2,0,3,2,11,4.9,2100.96,0,0
32,Masculino,Urbano,Casado,Semestral,94.41,44,Boleto Bancário,921.59,9.92,4,3,6,0,25,1.9,4154.04,0,0
60,Feminino,Rural,Casado,Anual,75.88,36,Débito Automático,914.49,43.75,4,1,2,0,151,1.8,2731.68,0,0
51,Masculino,Urbano,Casado,Anual,186.46,27,Débito Automático,1214.08,37.08,1,0,6,0,96,1.1,5034.42,0,0
30,Masculino,Urbano,Divorciado,Anual,198.55,36,Boleto Bancário,227.04,95.64,3,0,8,0,6,2.0,7147.8,0,0
37,Masculino,Subúrbio,Casado,Mensal,45.65,19,Boleto Bancário,658.91,37.4,4,0,1,0,23,4.9,867.35,0,0
22,Feminino,Urbano,Solteiro,Anual,123.59,5,Cartão de Crédito,147.0,59.44,4,2,9,1,73,4.7,617.95,0,0
24,Masculino,Subúrbio,Divorciado,Semestral,132.27,1,Cartão de Crédito,1225.34,98.56,4,1,2,0,76,1.4,132.27,1,0
18,Feminino,Urbano,Casado,Mensal,38.87,32,Débito Automático,1370.9,84.11,1,0,6,1,131,5.0,1243.84,0,1
45,Feminino,Urbano,Casado,Mensal,141.9,22,Cartão de Crédito,1301.21,22.49,2,1,9,0,129,1.2,3121.8,0,0
46,Masculino,Urbano,Solteiro,Anual,142.68,44,Boleto Bancário,1414.7,38.16,4,1,6,0,75,4.9,6277.92,0,0
45,Masculino,Urbano,Casado,Semestral,130.78,23,Débito Automático,603.29,52.37,4,1,9,0,22,3.7,3007.94,0,0
55,Masculino,Rural,Solteiro,Anual,55.71,3,Cartão de Crédito,1478.16,97.28,3,0,8,0,34,4.3,167.13,1,0
65,Masculino,Rural,Divorciado,Mensal,30.7,44,Boleto Bancário,964.32,83.91,1,0,1,0,177,2.8,1350.8,1,1
48,Masculino,Rural,Divorciado,Mensal,41.26,7,Débito Automático,1051.95,65.53,3,1,6,0,24,2.3,288.82,0,1
40,Masculino,Subúrbio,Casado,Mensal,121.47,20,Cartão de Crédito,814.91,98.75,4,0,4,0,73,2.0,2429.4,1,0
65,Masculino,Urbano,Solteiro,Semestral,34.04,21,Cartão de Crédito,1140.9,65.39,3,1,4,0,70,4.5,714.84,0,0
40,Masculino,Urbano,Divorciado,Mensal,175.5,26,Cartão de Crédito,97.89,85.23,4,0,1,0,64,1.6,4563.0,0,0
50,Masculino,Urbano,Solteiro,Semestral,182.09,2,Débito Automático,787.53,25.16,3,1,3,0,40,3.3,364.18,1,1
46,Feminino,Urbano,Casado,Semestral,42.02,22,Cartão de Crédito,874.78,72.6,4,0,3,0,145,1.1,924.44,1,0
53,Feminino,Subúrbio,Solteiro,Mensal,71.61,31,Cartão de Crédito,1459.81,49.65,3,0,1,0,97,1.9,2219.91,0,0
63,Masculino,Urbano,Divorciado,Mensal,137.78,22,Débito Automático,514.41,49.27,1,0,6,0,91,3.8,3031.16,0,0
33,Feminino,Urbano,Casado,Semestral,69.42,7,Débito Automático,1310.88,17.98,3,0,4,0,24,3.4,485.94,0,0
33,Masculino,Urbano,Casado,Mensal,162.17,24,Débito Automático,793.07,47.74,2,3,5,0,60,1.1,3892.08,0,0
67,Masculino,Subúrbio,Solteiro,Mensal,151.84,11,Boleto Bancário,545.45,14.5,1,0,6,0,141,4.5,1670.24,0,0
21,Masculino,Subúrbio,Divorciado,Mensal,113.39,9,Débito Automático,1243.89,19.02,3,0,2,0,170,3.8,1020.51,0,0
48,Masculino,Subúrbio,Casado,Mensal,76.88,40,Cartão de Crédito,464.96,98.38,1,1,2,2,122,4.6,3075.2,0,0
34,Feminino,Urbano,Divorciado,Anual,141.57,38,Débito Automático,1378.41,48.23,3,1,9,1,139,3.6,5379.66,0,0
23,Masculino,Urbano,Divorciado,Mensal,191.26,10,Boleto Bancário,735.41,24.61,4,0,0,0,174,3.5,1912.6,0,0
68,Masculino,Urbano,Casado,Mensal,104.63,10,Cartão de Crédito,194.37,70.42,4,0,0,0,6,2.7,1046.3,0,0
34,Feminino,Subúrbio,Divorciado,Mensal,92.16,3,Débito Automático,341.8,88.71,4,0,3,1,137,4.7,276.48,1,1
59,Masculino,Subúrbio,Solteiro,Mensal,159.9,27,Cartão de Crédito,349.38,41.2,2,0,8,0,70,3.5,4317.3,0,1
32,Masculino,Urbano,Solteiro,Semestral,64.29,2,Cartão de Crédito,890.4,42.99,1,0,8,0,92,3.2,128.58,0,0
69,Feminino,Urbano,Casado,Semestral,103.88,23,Cartão de Crédito,302.46,49.77,1,3,3,0,81,4.4,2389.24,0,0
41,Feminino,Urbano,Solteiro,Mensal,116.0,5,Cartão de Crédito,347.6,94.69,1,0,2,0,94,4.8,580.0,0,0
27,Masculino,Subúrbio,Divorciado,Mensal,110.96,39,Débito Automático,163.46,18.81,2,0,5,0,67,3.5,4327.44,0,1
37,Masculino,Urbano,Divorciado,Mensal,30.68,4,Boleto Bancário,690.64,58.93,3,0,9,0,67,4.4,122.72,0,0
31,Masculino,Subúrbio,Casado,Mensal,196.32,41,Débito Automático,1008.34,63.46,4,0,9,0,93,1.4,8049.12,0,0
69,Masculino,Urbano,Divorciado,Mensal,177.87,3,Boleto Bancário,747.12,94.45,2,0,7,0,57,1.4,533.61,0,0
26,Masculino,Subúrbio,Solteiro,Semestral,31.28,5,Débito Automático,157.23,41.77,3,1,1,0,40,3.7,156.4,0,0
51,Feminino,Urbano,Casado,Mensal,199.81,2,Cartão de Crédito,990.3,86.06,2,0,5,0,143,3.2,399.62,1,0
25,Masculino,Urbano,Divorciado,Anual,192.19,20,Boleto Bancário,1266.24,69.45,4,0,4,0,66,4.5,3843.8,0,0
68,Masculino,Urbano,Divorciado,Mensal,58.46,13,Débito Automático,1307.74,30.06,3,0,1,0,21,3.4,759.98,0,0
66,Masculino,Rural,Solteiro,Semestral,90.55,7,Boleto Bancário,352.55,83.35,1,0,8,0,169,2.0,633.85,1,0
57,Masculino,Urbano,Casado,Mensal,76.58,23,Débito Automático,656.45,92.72,2,0,2,0,20,2.9,1761.34,1,0
26,Feminino,Urbano,Divorciado,Semestral,150.72,10,Cartão de Crédito,153.73,46.96,2,0,4,0,35,1.5,1507.2,0,0
28,Masculino,Rural,Solteiro,Semestral,127.0,45,Débito Automático,480.52,86.92,3,1,0,0,76,2.1,5715.0,0,0
24,Feminino,Urbano,Casado,Mensal,146.06,20,Débito Automático,110.44,41.53,3,2,0,0,52,4.2,2921.2,0,0
24,Masculino,Urbano,Casado,Semestral,58.37,29,Boleto Bancário,58.36,61.8,3,0,4,1,134,5.0,1692.73,0,0
25,Masculino,Subúrbio,Casado,Mensal,149.92,9,Cartão de Crédito,894.4,58.3,3,0,4,0,134,2.9,1349.28,0,0
30,Feminino,Subúrbio,Solteiro,Mensal,150.16,3,Boleto Bancário,910.05,30.09,2,2,8,2,49,3.4,450.48,0,0
60,Feminino,Subúrbio,Divorciado,Semestral,49.44,32,Boleto Bancário,491.4,61.63,3,0,3,0,29,4.6,1582.08,0,0
59,Feminino,Urbano,Casado,Semestral,90.38,13,Cartão de Crédito,93.08,72.05,1,0,5,0,69,1.3,1174.94,0,0
19,Feminino,Subúrbio,Divorciado,Semestral,184.97,1,Cartão de Crédito,167.45,59.01,4,0,3,0,104,2.8,184.97,0,0
50,Feminino,Urbano,Divorciado,Mensal,116.63,41,Débito Automático,289.7,11.38,2,0,7,0,108,2.0,4781.83,1,0
58,Masculino,Rural,Divorciado,Semestral,74.41,41,Cartão de Crédito,1242.45,93.73,4,2,6,0,55,1.2,3050.81,0,0
68,Masculino,Subúrbio,Divorciado,Anual,159.85,22,Boleto Bancário,940.35,83.5,1,0,5,0,84,1.3,3516.7,0,0
18,Masculino,Urbano,Divorciado,Mensal,78.67,23,Débito Automático,381.7,20.24,3,1,8,0,163,2.7,1809.41,0,0
